사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
(주)홈스토리생활,2016-12-12,법인,202811.890531888,444103.760183634,2026-03-20 03:03:03,U,20,영업중,2026-03-19 13:23:33,2014-10-30,,서울특별시 강남구 역삼동 823-22 성곡빌딩,2019322023714500039,3220000,"서울특별시 강남구 테헤란로 128, 성곡빌딩 2층 211호 (역삼동)",06234,01,영업/정상,유료,02-6004-8804
에이치엔컴퍼니,,개인,198983.732935904,451092.140285241,2026-03-20 03:03:03,U,20,영업중,2026-03-19 17:42:41,2015-05-15,,서울특별시 중구 충무로2가 50번지 10호 조양빌딩본관,2015301013114500007,3010000,"서울특별시 중구 삼일대로 308, 조양빌딩본관 205호 (충무로2가)",04553,01,영업/정상,유료,02-723-9953
주식회사 지오코칭,,법인,199424.210387436,450959.66448749,2026-03-20 03:03:03,U,20,영업중,2026-03-19 16:07:46,2019-09-05,,서울특별시 중구 필동2가 16번지 6호 풍산빌딩,2020301016514500005,3010000,"서울특별시 중구 퇴계로 202, 풍산빌딩 401호 (필동2가)",04625,01,영업/정상,유료,02-2275-2557
주식회사 비온에이치알,,법인,197346.664858178,451164.44975357,2026-03-20 03:03:03,U,20,영업중,2026-03-19 16:10:00,2022-08-17,,서울특별시 중구 순화동 5-2 순화빌딩 1707호,2025301024314500016,3010000,"서울특별시 중구 서소문로 89, 순화빌딩 17층 BS-1707호 (순화동)",04516,01,영업/정상,유료,02-3453-5578
세화파출박사 이대점,2026-03-16,개인,195280.370589478,450483.386854919,2026-03-20 03:03:03,U,40,폐업,2026-03-19 11:02:53,1999-10-13,,서울특별시 마포구 염리동 8번지 40호   301호,1999313007811500002,3130000,"서울특별시 마포구 신촌로 196, 301호 (염리동)",,03,폐업,유료,02-704-7070
산모피아 마포/서대문/은평지사,2026-03-18,개인,192403.199513268,451124.615897058,2026-03-20 03:03:03,U,40,폐업,2026-03-19 10:57:41,2023-02-03,,서울특별시 마포구 성산동 114-3 성산동 성일 APT,2023313025714500003,3130000,"서울특별시 마포구 월드컵북로 98, 202-418호 (성산동, 성산동 성일 APT)",03978,03,폐업,유료,
(주)외국인근로자통합관리진흥원,,법인,203267.577393018,453202.094889573,2026-03-20 03:03:03,U,20,영업중,2026-03-19 09:48:25,2025-04-01,,서울특별시 동대문구 제기동 978,2025305026714500002,3050000,서울특별시 동대문구 약령동길 59 (제기동),02570,01,영업/정상,유료,
(주)더이음에이치알,,법인,192696.265266716,447151.961704536,2026-03-20 03:03:03,U,20,영업중,2026-03-19 15:21:11,2018-04-16,,서울특별시 영등포구 여의도동 17-9 더하우스 소호 여의도 오피스텔 305호,2018318019714500011,3180000,"서울특별시 영등포구 의사당대로 26, 더하우스 소호 여의도 오피스텔 305호 (여의도동)",07236,01,영업/정상,유료,
두리직업소개소,,개인,190723.173909299,443412.466147052,2026-03-20 03:03:03,U,20,영업중,2026-03-19 14:40:21,2024-11-26,,서울특별시 영등포구 대림동 1052-37,2024318025614500051,3180000,"서울특별시 영등포구 도림로31길 4-2, 1층 (대림동)",07415,01,영업/정상,유료,
커리어플랜(주),,법인,190887.117653337,442324.745872584,2026-03-20 03:03:03,U,20,영업중,2026-03-19 19:18:57,2023-10-11,,서울특별시 구로구 구로동 222-31 지플러스타워 1501호,2023316016014500017,3160000,"서울특별시 구로구 디지털로26길 123, 지플러스타워 1501호 (구로동)",08390,01,영업/정상,유료,02-6371-1238
(주)에이치알컨설팅그룹,,법인,189472.091898625,441483.675018356,2026-03-20 03:03:03,U,20,영업중,2026-03-19 15:05:18,2013-01-03,,서울특별시 금천구 가산동 345-30 남성프라자,2013317014314500001,3170000,"서울특별시 금천구 디지털로 130, 남성프라자 1403호 (가산동)",08589,01,영업/정상,유료,02-6097-8900
에이치알니즈,2026-03-13,개인,189055.138252216,441958.334400683,2026-03-20 03:03:03,U,40,폐업,2026-03-19 09:46:58,2018-01-10,,서울특별시 금천구 가산동 543-1 대성디폴리스지식산업센터,2018317018814500001,3170000,"서울특별시 금천구 서부샛길 606, 대성디폴리스지식산업센터 A동 30층 A08호 (가산동)",08504,03,폐업,유료,02-6949-2018
(주)마이더스에이치알,,법인,193301.90534733,446718.740953009,2026-03-20 03:03:03,U,20,영업중,2026-03-19 14:41:09,2014-09-04,,서울특별시 영등포구 여의도동 26번지 5호 1403호,2014318019714500031,3180000,"서울특별시 영등포구 여의나루로 53-1, 1403호 (여의도동)",,01,영업/정상,유료,
주식회사 마이나비코리아,,법인,205340.631121567,445354.571117445,2026-03-20 03:03:03,U,20,영업중,2026-03-19 16:45:44,2017-03-03,,서울특별시 강남구 삼성동 159번지 1호 트레이드타워 1901호,2017322016314500015,3220000,"서울특별시 강남구 영동대로 511, 1901호 (삼성동, 트레이드타워)",06164,01,영업/정상,유료,02-6000-0323
주식회사 소셜써치코리아,,법인,204385.880815941,444903.174277773,2026-03-20 03:03:03,U,20,영업중,2026-03-19 13:28:24,2018-11-01,,서울특별시 강남구 삼성동 142번지 1호,2018322016314500044,3220000,"서울특별시 강남구 테헤란로63길 16, 강성빌딩 2층 (삼성동)",06160,01,영업/정상,유료,02-567-1510
(주)라피플코리아리미티드,,법인,204130.823745399,444612.149927522,2026-03-20 03:03:03,U,20,영업중,2026-03-19 13:35:43,2019-08-16,,"서울특별시 강남구 역삼동 708 동우빌딩 901,902호",2019322023714500041,3220000,"서울특별시 강남구 테헤란로 328, 동우빌딩 901,902호 (역삼동)",06212,01,영업/정상,유료,02-2222-5180
주식회사 와이즈임플로이먼트코리아,2021-01-22,법인,175213.489887007,457502.464191452,2026-03-20 03:03:03,U,20,영업중,2026-03-19 10:23:02,2011-01-03,,경기도 김포시 사우동 924 제우스프라자,2011409022914500001,4090000,"경기도 김포시 김포대로 841, 제우스프라자 201호 (사우동)",10110,01,영업/정상,유료,031-984-9001
(주)프로써치코리아,,법인,204175.169991518,444722.241675859,2026-03-20 03:03:03,U,20,영업중,2026-03-19 09:52:59,2023-02-21,,서울특별시 강남구 역삼동 705-18 신도벤처타워,2023322025014500008,3220000,"서울특별시 강남구 테헤란로 333, 신도벤처타워 10층,13층 (역삼동)",06150,01,영업/정상,유료,02-558-1901
(주)엘마르코리아,,법인,201100.875747535,443361.673546824,2026-03-20 03:03:03,U,20,영업중,2026-03-19 13:18:49,2010-01-12,,서울특별시 서초구 서초동 1574-4 이레 오피스텔,2015321015514500002,3210000,"서울특별시 서초구 서초대로50길 19, 이레 오피스텔 3층 322호 (서초동)",06644,01,영업/정상,유료,02-777-3101
(주)이음길에이치알,,법인,204539.735,444852.685,2026-03-20 03:03:03,U,20,영업중,2026-03-19 16:36:53,2020-03-02,,서울특별시 강남구 삼성동 142번지 43호 강남파이낸스플라자,2020322023714500008,3220000,"서울특별시 강남구 테헤란로 419, 강남파이낸스플라자 14층 (삼성동)",06160,01,영업/정상,유료,02-6229-2231
(주)프로매치코리아,,법인,204091.578937267,444708.182570037,2026-03-20 03:03:03,U,20,영업중,2026-03-19 09:17:37,2004-12-01,,서울특별시 강남구 역삼동 705-1 빅토리아오피스텔,2004322008111500113,3220000,"서울특별시 강남구 테헤란로 327, 빅토리아오피스텔 411호,412호 (역삼동)",06150,01,영업/정상,유료,02-564-1912
영동강남소개소,,개인,202183.509841993,444119.505393165,2026-03-20 03:03:03,U,20,영업중,2026-03-19 13:19:38,2021-03-15,,서울특별시 서초구 서초동 1307-7 센터프라자,2024321019514500019,3210000,"서울특별시 서초구 강남대로61길 10, 센터프라자 5층 505호 (서초동)",06614,01,영업/정상,유료,02-514-1737
(주)핀커스코리아,,법인,202975.045940135,444034.659792294,2026-03-20 03:03:03,U,20,영업중,2026-03-19 14:22:35,2011-05-16,,서울특별시 강남구 역삼동 735-36,2011322016314500033,3220000,"서울특별시 강남구 테헤란로20길 18, 5,7층 (역삼동)",06235,01,영업/정상,유료,02-3453-5457
(주)커리어멘토,,법인,202980.229130822,444692.727490889,2026-03-20 03:03:03,U,20,영업중,2026-03-19 13:24:18,2013-10-16,,서울특별시 강남구 역삼동 628 중일빌딩,2013322016314500054,3220000,"서울특별시 강남구 논현로101길 7, 중일빌딩 4층 403호 (역삼동)",06126,01,영업/정상,유료,02-6413-1010
맨쉬컨설팅주식회사,,법인,202924.728431526,444079.368714251,2026-03-20 03:03:03,U,20,영업중,2026-03-19 17:52:00,2015-07-15,,서울특별시 강남구 역삼동 735-29,2015322016314500037,3220000,"서울특별시 강남구 테헤란로16길 9, 4~5층 (역삼동)",06235,01,영업/정상,유료,02-6952-9944
