영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,새로네케이크,제과점영업,,200251.141673861,419163.75310745,2026-03-20 21:46:13,I,01,영업,0,,,,,,,,,2026-03-19 17:39:32,2026-03-19,.00,442-880,경기도 수원시 팔달구 고등동 53-5,N,,3770000-121-2026-00005,,3740000,"경기도 수원시 팔달구 고등로59번길 24, 1층 (고등동)",16447,01,영업/정상,제과점영업,,,,상수도전용
,,투유랑랑,제과점영업,,203750.077467376,419112.413095225,2026-03-20 21:46:13,I,01,영업,74.05,,,,,,,,,2026-03-19 15:31:45,2026-03-19,74.05,443-800,경기도 수원시 영통구 매탄동 153-59 1층,N,,5610000-121-2026-00016,,3740000,"경기도 수원시 영통구 매여울로61번길 30, 1층 (매탄동)",16531,01,영업/정상,제과점영업,031-211-7707,,,상수도전용
,,투유랑랑,제과점영업,,203694.404577474,419101.594315927,2026-03-20 21:46:13,I,01,영업,48.45,,,,,,,,,2026-03-19 15:27:35,2026-03-19,48.45,443-800,경기도 수원시 영통구 매탄동 153-160 1층,N,,5610000-121-2026-00017,,3740000,"경기도 수원시 영통구 매여울로61번길 39, 1층 (매탄동)",16531,01,영업/정상,제과점영업,031-211-1005,,,상수도전용
,,라벨지제과점,제과점영업,,182829.530349907,471350.637851047,2026-03-20 21:46:10,I,01,영업,81.2,,,,,,,,,2026-03-19 15:51:15,2026-03-19,81.20,413-823,경기도 파주시 조리읍 봉일천리 189-6,N,,4060000-121-2026-00012,,4060000,"경기도 파주시 조리읍 송비말길 104-2, 1층 전체",10937,01,영업/정상,제과점영업,,,,상수도전용
,,농업회사법인 흥만소주식회사,제과점영업,,206217.434726027,448506.218743834,2026-03-20 22:16:11,I,01,영업,3.3,,,,,,,,,2026-03-19 11:13:35,2026-03-19,3.30,143-758,서울특별시 광진구 자양동 227-342 롯데백화점,N,,3040000-121-2026-00011,,3040000,"서울특별시 광진구 능동로 92, 건대스타시티점 지하1층 팝업 (자양동)",05065,01,영업/정상,제과점영업,,,,
,,보따리제과점(한시적),제과점영업,,205210.358779172,445154.42225208,2026-03-20 22:16:14,I,01,영업,0,,,,,,,,,2026-03-19 10:19:37,2026-03-19,,135-730,서울특별시 강남구 삼성동 159-7 현대백화점,N,,3220000-121-2026-00028,,3220000,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 식품관 일부호 (삼성동)",06164,01,영업/정상,제과점영업,,,,
,,뚜레쥬르 송파석촌점,제과점영업,,209516.658247752,444689.673572526,2026-03-20 22:16:12,I,01,영업,89.1,,,,,,,,,2026-03-19 14:50:24,2026-03-19,89.10,138-850,서울특별시 송파구 송파동 89 성은빌딩,N,,3230000-121-2026-00031,,3230000,"서울특별시 송파구 송파대로 416, 1층 (송파동)",05667,01,영업/정상,제과점영업,,,,
,,우아케이크(WOOAH CAKE),제과점영업,,203812.516419371,479619.579504385,2026-03-20 21:46:13,I,01,영업,42.06,,,,,,,,,2026-03-19 11:29:26,2026-03-19,42.06,482-050,경기도 양주시 덕계동 682-82 해오름2 1층 일부,N,,5590000-121-2026-00002,,5590000,"경기도 양주시 평화로1429번길 31-9, 해오름2 1층 일부 (덕계동)",11442,01,영업/정상,제과점영업,,,,상수도전용
,,밀물 베이커리,제과점영업,,190225.73737063,462438.014950948,2026-03-20 21:16:10,I,01,영업,39,,,,,,,,,2026-03-19 16:36:13,2026-03-19,39.00,412-070,경기도 고양시 덕양구 신원동 624,N,,3950000-121-2026-00007,,3940000,"경기도 고양시 덕양구 신원로 40-38, 서원프라자 1층 103호 (신원동)",10568,01,영업/정상,제과점영업,,,,
,,스탠다드번 광화문점,제과점영업,,198286.311784052,452091.444332546,2026-03-20 22:46:19,I,01,영업,78.72,,,,,,,,,2026-03-19 17:09:17,2026-03-19,78.72,110-130,"서울특별시 종로구 청진동 70 그랑서울 105,106호",N,,3000000-121-2026-00008,,3000000,"서울특별시 종로구 종로 33, 그랑서울 105,106호 (청진동)",03159,01,영업/정상,제과점영업,,,,
,,Moussy Moussy(무시무시),제과점영업,,194955.406353595,450620.463748751,2026-03-20 22:16:19,I,01,영업,7,,,,,,,,,2026-03-19 17:54:50,2026-03-19,7.00,120-808,서울특별시 서대문구 대현동 60-11,N,,3120000-121-2026-00008,,3120000,"서울특별시 서대문구 신촌역로 22-5, 신촌청년푸드스토어 2층 35호 (대현동)",03766,01,영업/정상,제과점영업,,,,
,,이매동 빵아저씨,제과점영업,,210748.107044806,433676.41086999,2026-03-20 21:46:14,I,01,영업,0,,,,,,,,,2026-03-19 09:59:55,2026-03-19,,463-806,경기도 성남시 분당구 이매동 131-3 홍우프라자 지상1층 2호,N,,3810000-121-2026-00010,,3780000,"경기도 성남시 분당구 판교로 436, 홍우프라자 지상1층 2호 (이매동)",13523,01,영업/정상,제과점영업,,,,
,,루베이커리,제과점영업,,368735.768381611,476981.210756124,2026-03-20 21:17:43,I,01,영업,43.3,,,,,,,,,2026-03-19 14:06:50,2026-03-19,43.30,,강원특별자치도 강릉시 포남동 1208,N,,4201000-121-2026-00002,,4201000,"강원특별자치도 강릉시 산양큰길 29, 1층 (포남동)",25481,01,영업/정상,제과점영업,,,,
,,폴디케이크샵 압구정점,제과점영업,,207061.022316272,414254.719707352,2026-03-20 21:46:13,I,01,영업,0,,,,,,,,,2026-03-19 17:36:52,2026-03-19,,446-920,경기도 용인시 기흥구 농서동 산 24 삼성전자(주)기흥캠퍼스,N,,5630000-121-2026-00006,,4050000,"경기도 용인시 기흥구 삼성로 1, 삼성전자(주)기흥캠퍼스 NanoCity SR3동 1층 일부호 (농서동)",17113,01,영업/정상,제과점영업,,,,
,,앙팡,제과점영업,,183321.909592344,442455.618406455,2026-03-20 03:03:03,U,01,영업,27.88,,,,,,,,,2026-03-19 14:10:07,2026-02-20,27.88,,경기도 부천시 소사구 괴안동 114-7 1층 일부호,N,,3881000-121-2026-00002,,3860000,"경기도 부천시 소사구 경인로 512, 1층 일부호 (괴안동)",14676,01,영업/정상,제과점영업,,,,
,,런던베이글뮤지엄 안국(LONDON BAGEL MUSEUM),제과점영업,,198725.980517437,452994.523270389,2026-03-20 03:03:03,U,01,영업,232.93,,,,,,,,,2026-03-19 14:39:12,2021-12-13,232.93,110-801,서울특별시 종로구 계동 102-1 연화빌딩,N,,3000000-121-2021-00008,,3000000,"서울특별시 종로구 북촌로4길 20, 연화빌딩 1층 (계동)",03059,01,영업/정상,제과점영업,,,,
,,주식회사 엘비엠,제과점영업,,198548.664190566,452679.314071935,2026-03-20 03:03:03,U,01,영업,26.4,,,,,,,,,2026-03-19 14:35:56,2023-12-29,26.40,110-240,서울특별시 종로구 안국동 164,N,,3000000-121-2023-00022,,3000000,"서울특별시 종로구 율곡로 45, 2층 (안국동)",03060,01,영업/정상,제과점영업,,,,
,,글루닉,제과점영업,2026-03-19,203482.51630363,449409.576831909,2026-03-20 03:03:03,U,02,폐업,53.17,,,,,,,,,2026-03-19 10:57:58,2026-01-15,53.17,133-825,서울특별시 성동구 성수동1가 685-463,N,,3030000-121-2026-00002,,3030000,"서울특별시 성동구 서울숲2길 16-12, 1층 (성수동1가)",04768,03,폐업,제과점영업,,,,
,,파리바게트(강동고덕성산점),제과점영업,2026-03-20,215257.766510608,452195.587817951,2026-03-20 03:03:03,U,02,폐업,100.8,,,,,,,,,2026-03-19 17:35:55,2020-10-29,100.80,134-100,서울특별시 강동구 강일동 76-11 성산타워,N,,3240000-121-2020-00027,,3240000,"서울특별시 강동구 아리수로93나길 26, 성산타워 102~104호 (강일동)",05415,03,폐업,제과점영업,,,,
,,하이웨스트 판교(Highwaist),제과점영업,,209850.446960528,432304.149379043,2026-03-20 03:03:03,U,01,영업,33.54,,,,,,,,,2026-03-19 19:05:25,2024-03-06,33.54,463-420,경기도 성남시 분당구 백현동 541 현대백화점 판교점 지하1층 일부호,N,,3810000-121-2024-00003,,3780000,"경기도 성남시 분당구 판교역로146번길 20, 현대백화점 판교점 지하1층 일부호 (백현동)",13529,01,영업/정상,제과점영업,,,,
,,커피라운지랩,제과점영업,,202791.447909095,418001.500229101,2026-03-20 03:03:03,U,01,영업,56.16,,,,,,,,,2026-03-19 10:55:29,2023-12-27,56.16,442-835,경기도 수원시 팔달구 인계동 1113-11 씨네파크,N,,3770000-121-2023-00024,,3740000,"경기도 수원시 팔달구 권광로 181, 씨네파크 4층 405호 일부호 (인계동)",16490,01,영업/정상,제과점영업,,,,상수도전용
,,뚜레쥬르 카페안성당왕점,제과점영업,,222807.270343336,390053.104764664,2026-03-20 03:03:03,U,01,영업,129.5,,,,,,,,,2026-03-19 16:04:58,2000-05-20,129.50,456-240,경기도 안성시 석정동 139-11 1층,N,,4080000-121-2000-00011,,4080000,"경기도 안성시 아양2로 107, 1층 (석정동)",17578,01,영업/정상,제과점영업,031-676-1228,,,
